symbol,current_price,previous_close,gap_percent,change_dollar,current_volume,avg_volume,volume_ratio,market_cap,pe_ratio,market_cap_billions,collection_time,source
GMS,101.06,81.01,24.753843,20.049995,3790958,403775,9.388788310321342,3846252544,34.60959,3.846252544,2025-06-20T10:50:07.596888,yfinance_day_gainers
OSCR,21.72,18.77,15.716562,2.9499989,57715166,8661158,6.663677766875977,5531584000,54.3,5.531584,2025-06-20T10:50:07.596904,yfinance_day_gainers
ZETA,14.13,12.59,12.23193,1.54,12428807,4378116,2.838848262586007,3328236800,0.0,3.3282368,2025-06-20T10:50:07.596911,yfinance_day_gainers
GXO,47.64,42.78,11.360451,4.8600006,2627084,1309361,2.0063863212666333,5450920960,76.83871,5.45092096,2025-06-20T10:50:07.596914,yfinance_day_gainers
KR,71.32,65.52,8.856318,5.800003,13548935,7867961,1.7220389119874895,47488634880,19.433243,47.48863488,2025-06-20T10:50:07.596920,yfinance_day_gainers
LEU,195.24,180.96,7.891246,14.279999,2243654,951319,2.3584665080798346,3326362624,30.31677,3.326362624,2025-06-20T10:50:07.596945,yfinance_day_gainers
KMX,68.52,64.33,6.513283,4.189995,7638657,3669895,2.081437479818905,10437994496,21.345793,10.437994496,2025-06-20T10:50:07.596935,yfinance_day_gainers
BLDR,113.4387,106.85,6.1663074,6.5886993,3173908,1940020,1.6360181853795321,12536677376,14.543423,12.536677376,2025-06-20T10:50:07.596938,yfinance_day_gainers
BATRK,46.3,43.68,6.0050397,2.619999,681423,287587,2.3694499403658718,2938665472,0.0,2.938665472,2025-06-20T10:50:07.596940,yfinance_day_gainers
IREN,10.3876,9.8,5.995916,0.58759975,23689060,15163341,1.5622586077830736,2512417792,0.0,2.512417792,2025-06-20T10:50:07.596948,yfinance_day_gainers
BATRA,49.03,46.32,5.8506026,2.709999,120098,60217,1.9944201803477424,2934572800,0.0,2.9345728,2025-06-20T10:50:07.596943,yfinance_day_gainers
APG,51.63,48.95,5.476094,2.6800003,6296473,1808146,3.4822812980810176,14293249024,84.63934,14.293249024,2025-06-20T10:50:07.596950,yfinance_day_gainers
